threshold,perturbation,original_value,new_value,n_changes,changed_entities,robustness
TE_MED,-20%,40.0,32.0,0,,1.0
TE_MED,-10%,40.0,36.0,0,,1.0
TE_MED,+10%,40.0,44.0,0,,1.0
TE_MED,+20%,40.0,48.0,0,,1.0
TE_HIGH,-20%,70.0,56.0,0,,1.0
TE_HIGH,-10%,70.0,63.0,0,,1.0
TE_HIGH,+10%,70.0,77.0,0,,1.0
TE_HIGH,+20%,70.0,84.0,0,,1.0
HE_HIGH,-20%,70.0,56.0,0,,1.0
HE_HIGH,-10%,70.0,63.0,0,,1.0
HE_HIGH,+10%,70.0,77.0,0,,1.0
HE_HIGH,+20%,70.0,84.0,0,,1.0
RISK_HIGH,-20%,0.5,0.4,0,,1.0
RISK_HIGH,-10%,0.5,0.45,0,,1.0
RISK_HIGH,+10%,0.5,0.55,0,,1.0
RISK_HIGH,+20%,0.5,0.6,0,,1.0
YIELD_HIGH,-20%,0.75,0.6000000000000001,0,,1.0
YIELD_HIGH,-10%,0.75,0.675,0,,1.0
YIELD_HIGH,+10%,0.75,0.8250000000000001,0,,1.0
YIELD_HIGH,+20%,0.75,0.8999999999999999,0,,1.0
FEAS_NER,-20%,0.6,0.48,0,,1.0
FEAS_NER,-10%,0.6,0.54,0,,1.0
FEAS_NER,+10%,0.6,0.66,0,,1.0
FEAS_NER,+20%,0.6,0.72,2,"HER2_IHC (TRANSFORMER BIDIRECTIONNEL->LLM), HER2_status (TRANSFORMER BIDIRECTIONNEL->LLM)",0.7142857142857143
DOMAIN_SHIFT_MAX,-20%,0.5,0.4,0,,1.0
DOMAIN_SHIFT_MAX,-10%,0.5,0.45,0,,1.0
DOMAIN_SHIFT_MAX,+10%,0.5,0.55,0,,1.0
DOMAIN_SHIFT_MAX,+20%,0.5,0.6,0,,1.0
LLM_NEC_HIGH,-20%,0.5,0.4,0,,1.0
LLM_NEC_HIGH,-10%,0.5,0.45,0,,1.0
LLM_NEC_HIGH,+10%,0.5,0.55,0,,1.0
LLM_NEC_HIGH,+20%,0.5,0.6,0,,1.0
